	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1
OG0000012	AFZ52774, AFZ53527	ACC79358, ACC79807, ACC81918, ACC82135, ACC82499, ACC82500, ACC82699	EKQ66729, EKQ67545, EKQ67837, EKQ67838, EKQ68416, EKQ70600
OG0000013	AFZ52522, AFZ52912, AFZ53041, AFZ53051, AFZ53787, AFZ53971, AFZ54233, AFZ54425, AFZ54827, AFZ54959, AFZ55020, AFZ55025, AFZ55490	ACC84815	
OG0000014		ACC80323	EKQ66987, EKQ66988, EKQ67099, EKQ67100, EKQ69906, EKQ69907, EKQ70006, EKQ70007, EKQ70795, EKQ70838, EKQ70931, EKQ70932, EKQ71179
OG0000015	AFZ55570	ACC79729, ACC80444, ACC80534, ACC81061, ACC81223, ACC81577, ACC82446, ACC82949, ACC84223	EKQ66963, EKQ68170, EKQ70720
OG0000016	AFZ52260, AFZ52289, AFZ52924, AFZ53758, AFZ54005, AFZ54097, AFZ54921, AFZ55220	ACC83018	EKQ66676, EKQ68036, EKQ69239
OG0000017	AFZ52964, AFZ54280, AFZ54506, AFZ54663	ACC79753, ACC80861, ACC81948, ACC83520, ACC83762	EKQ69419, EKQ70156, EKQ70849
OG0000018	AFZ53165, AFZ53166, AFZ53167, AFZ53168, AFZ53169, AFZ53170, AFZ53274	ACC84404, ACC84959	EKQ67230, EKQ69172, EKQ71298
OG0000019	AFZ53576, AFZ53883, AFZ54833	ACC78922, ACC79330, ACC81506, ACC84200, ACC84288	EKQ67307, EKQ69056, EKQ69573, EKQ70683
OG0000020	AFZ52285, AFZ53188, AFZ53648, AFZ53837	ACC79474, ACC79865, ACC82916, ACC82934, ACC83641	EKQ69453, EKQ71200
OG0000021	AFZ52490, AFZ54424	ACC79181, ACC80973, ACC83673, ACC84330, ACC84766	EKQ66632, EKQ66797, EKQ67460, EKQ68403
OG0000022	AFZ52508, AFZ54842	ACC79050, ACC79594, ACC79891, ACC81998, ACC82657, ACC82658, ACC82784, ACC84078	EKQ69582
OG0000023	AFZ52988, AFZ53483	ACC79999, ACC80710, ACC81602, ACC81650, ACC82869, ACC83255, ACC84957, ACC85188	EKQ69235
OG0000024	AFZ52189, AFZ52198	ACC79533, ACC80948, ACC84138	EKQ67480, EKQ68443, EKQ68568, EKQ69111, EKQ69327
OG0000025	AFZ52501, AFZ54579, AFZ55135	ACC79895, ACC80491, ACC82567, ACC83115, ACC84044, ACC85340	EKQ67604
OG0000026	AFZ52833	ACC81567, ACC82178, ACC83377	EKQ66829, EKQ66867, EKQ66922, EKQ67040, EKQ67309, EKQ69996
OG0000027	AFZ53378, AFZ55036	ACC79381, ACC81195, ACC83235, ACC83236, ACC85059, ACC85069, ACC85070	EKQ71195
OG0000028	AFZ53436, AFZ54712	ACC79171, ACC79583, ACC80557, ACC80564, ACC80712, ACC85225	EKQ67145, EKQ70250
OG0000029	AFZ54387	ACC78846, ACC80013, ACC80774, ACC81633, ACC81798, ACC81994, ACC82524, ACC83881	EKQ66714
OG0000030	AFZ54447	ACC80952, ACC81709, ACC83744, ACC84170, ACC84539, ACC84949	EKQ67756, EKQ69651, EKQ69927
OG0000031	AFZ52164, AFZ54552	ACC79513, ACC80319, ACC81653, ACC85395	EKQ67086, EKQ69069, EKQ70693
OG0000032	AFZ52259, AFZ52923, AFZ53537, AFZ54080, AFZ54600, AFZ55499	ACC80932, ACC84061	EKQ70098
OG0000033	AFZ53889	ACC79867, ACC80032, ACC80640, ACC83869, ACC85049, ACC85056, ACC85448	EKQ70606
OG0000034	AFZ54475	ACC79305, ACC81227, ACC81643, ACC81778, ACC83796, ACC84110, ACC85045, ACC85060	
OG0000035	AFZ55314	ACC78988, ACC79530, ACC80311, ACC80583, ACC81504, ACC81601	EKQ67308, EKQ70682
OG0000036	AFZ55442	ACC79208, ACC80650, ACC82536	EKQ66744, EKQ67134, EKQ68654, EKQ69215, EKQ71145
OG0000037		ACC80460, ACC82081, ACC83378, ACC84193	EKQ66919, EKQ66921, EKQ67808, EKQ70001, EKQ71215
OG0000038		ACC82955, ACC83630, ACC83841, ACC84617, ACC84620, ACC84642, ACC84883	EKQ67546, EKQ70888
OG0000039			EKQ67248, EKQ67288, EKQ67569, EKQ68025, EKQ68120, EKQ68356, EKQ68595, EKQ68611, EKQ69099
OG0000040	AFZ52309, AFZ53544, AFZ54020	ACC79456, ACC83291	EKQ66824, EKQ69223, EKQ70078
OG0000041	AFZ52819, AFZ52863, AFZ53980, AFZ54662, AFZ54873, AFZ55145, AFZ55402		EKQ69982
OG0000042	AFZ52965, AFZ54083, AFZ55249	ACC80769, ACC83943, ACC84300	EKQ71241, EKQ71299
OG0000043	AFZ53651, AFZ54725, AFZ55395	ACC79298, ACC79686, ACC84468	EKQ67374, EKQ69620
OG0000044	AFZ53698, AFZ54108, AFZ54109, AFZ54118, AFZ54125, AFZ54127, AFZ54141		EKQ69537
OG0000045	AFZ53973, AFZ54840	ACC79479, ACC81565, ACC83366, ACC84890	EKQ67567, EKQ70102
OG0000046	AFZ54110, AFZ54115, AFZ54121, AFZ54126, AFZ54128, AFZ54138, AFZ54208	ACC81863	
OG0000047	AFZ55282	ACC78825, ACC79910, ACC81651, ACC82181, ACC83298, ACC84292	EKQ70141
OG0000048		ACC79125, ACC80936, ACC81220, ACC82214, ACC82449, ACC82463, ACC84805	EKQ66799
OG0000049		ACC79787, ACC80077, ACC81795, ACC84143	EKQ67879, EKQ68638, EKQ68640, EKQ68642
OG0000050	AFZ52356	ACC80060	EKQ67628, EKQ68210, EKQ68212, EKQ70304, EKQ70327
OG0000051	AFZ52436, AFZ52949	ACC80071, ACC84850, ACC84852	EKQ68072, EKQ69001
OG0000052	AFZ52559, AFZ53221, AFZ54315	ACC81258, ACC82490, ACC83412	EKQ68166
OG0000053	AFZ52568, AFZ52569, AFZ54512	ACC78950, ACC79321, ACC84774, ACC84775	
OG0000054	AFZ52693	ACC80015, ACC81611, ACC81996, ACC82526, ACC83879	EKQ69956
OG0000055	AFZ52810, AFZ53978	ACC79943, ACC82558, ACC85301	EKQ67791, EKQ69113
OG0000056	AFZ52811, AFZ55260, AFZ55268	ACC79942	EKQ67081, EKQ67614, EKQ71034
OG0000057	AFZ52927, AFZ54717	ACC80375, ACC80376, ACC82940	EKQ67690, EKQ70192
OG0000058	AFZ52981, AFZ54180, AFZ54665, AFZ55120	ACC80901	EKQ70310, EKQ70357
OG0000059	AFZ52990	ACC84271, ACC84456	EKQ66886, EKQ67668, EKQ69066, EKQ70150
OG0000060	AFZ53000, AFZ55275	ACC80140, ACC80675, ACC80810, ACC83381, ACC84156	
OG0000061	AFZ53109, AFZ53423	ACC80199, ACC80435, ACC83394	EKQ68445, EKQ70855
OG0000062	AFZ53197, AFZ54477, AFZ54478, AFZ54479, AFZ54949, AFZ54950, AFZ54951		
OG0000063	AFZ53208	ACC79442, ACC80075, ACC81001, ACC82136, ACC83200	EKQ70585
OG0000064	AFZ53209, AFZ53752	ACC79796, ACC83576	EKQ67105, EKQ68741, EKQ70209
OG0000065	AFZ53223, AFZ55384	ACC81513, ACC81916, ACC82795	EKQ67070, EKQ67982
OG0000066	AFZ53234, AFZ53441	ACC79567, ACC79954, ACC81503	EKQ67518, EKQ71282
OG0000067	AFZ53333, AFZ53334, AFZ54284, AFZ54786	ACC79428	EKQ67691, EKQ70763
OG0000068	AFZ53337, AFZ54507, AFZ55205	ACC82401, ACC82925, ACC84244	EKQ70751
OG0000069	AFZ53776, AFZ53940, AFZ55196	ACC79361, ACC84415, ACC84584	EKQ69438
OG0000070	AFZ53792, AFZ54530	ACC78835, ACC81093	EKQ68530, EKQ68762, EKQ69320
OG0000071	AFZ53866	ACC82661, ACC83549, ACC84299, ACC84467, ACC84643	EKQ67695
OG0000072	AFZ53879, AFZ54025, AFZ54879	ACC80066, ACC83227	EKQ68121, EKQ68987
OG0000073	AFZ53976	ACC81217, ACC81655, ACC85390	EKQ67992, EKQ69112, EKQ70567
OG0000074	AFZ54093, AFZ54095	ACC78992, ACC83300, ACC83991, ACC84569	EKQ69329
OG0000075	AFZ54332, AFZ54516, AFZ54863	ACC79628, ACC83978	EKQ68547, EKQ69163
OG0000076	AFZ54386	ACC80584, ACC81993, ACC82094, ACC83888, ACC84652	EKQ71283
OG0000077	AFZ55063	ACC80988, ACC83924, ACC84492	EKQ66573, EKQ67787, EKQ68650
OG0000078	AFZ55192	ACC79136, ACC80717, ACC83621, ACC84433, ACC85422	EKQ69011
OG0000079		ACC79137, ACC81434, ACC82169, ACC83293, ACC83916, ACC84636	EKQ69391
OG0000080		ACC80785, ACC81631, ACC81838, ACC83803, ACC84845, ACC84849	EKQ71208
OG0000081	AFZ52174, AFZ52461, AFZ54001	ACC79077, ACC80070	EKQ70140
OG0000082	AFZ52380, AFZ53207, AFZ54133	ACC81272	EKQ68733, EKQ69020
OG0000083	AFZ52403, AFZ53301, AFZ54942, AFZ55164	ACC78814, ACC80563	
OG0000084	AFZ52529	ACC82108, ACC82819	EKQ66759, EKQ69830, EKQ70843
OG0000085	AFZ52680, AFZ53200, AFZ53203, AFZ54336	ACC83808	EKQ70211
OG0000086	AFZ52736	ACC79503, ACC79546, ACC83251, ACC84353	EKQ68501
OG0000087	AFZ52786, AFZ53927, AFZ54671, AFZ55498	ACC84305	EKQ71246
OG0000088	AFZ52796	ACC79976, ACC83734, ACC83735	EKQ68378, EKQ70100
OG0000089	AFZ52804, AFZ53779	ACC80225, ACC83445	EKQ67605, EKQ69815
OG0000090	AFZ52851, AFZ53942, AFZ54769, AFZ55462	ACC79423	EKQ68028
OG0000091	AFZ52959, AFZ52960	ACC82666, ACC82667	EKQ68616, EKQ68617
OG0000092	AFZ53057	ACC80513, ACC81457, ACC81723	EKQ67784, EKQ71199
OG0000093	AFZ53125, AFZ54841	ACC80661, ACC82393, ACC84833	EKQ70877
OG0000094	AFZ53126, AFZ55338	ACC79782, ACC80660, ACC82394	EKQ70878
OG0000095	AFZ53149, AFZ53355, AFZ53974, AFZ55537, AFZ55563	ACC84408	
OG0000096	AFZ53150, AFZ53356, AFZ53975, AFZ55538, AFZ55562		EKQ70886
OG0000097	AFZ53268, AFZ53315, AFZ53737, AFZ54418, AFZ54975	ACC80418	
OG0000098	AFZ53271, AFZ53442, AFZ54445	ACC79707	EKQ69915, EKQ71153
OG0000099	AFZ53297, AFZ55208	ACC79154, ACC82575	EKQ67674, EKQ69940
OG0000100	AFZ53313	ACC79817, ACC80280, ACC80602, ACC80879	EKQ70360
OG0000101	AFZ53328, AFZ53329, AFZ53330, AFZ53331	ACC79429	EKQ70762
OG0000102	AFZ53365	ACC80504, ACC80505	EKQ67557, EKQ68393, EKQ69437
OG0000103	AFZ53439, AFZ55051	ACC82076, ACC82665	EKQ68215, EKQ68618
OG0000104	AFZ53491, AFZ53772, AFZ55333	ACC82936	EKQ69681, EKQ70464
OG0000105	AFZ53525	ACC80644, ACC80824, ACC81550, ACC82254	EKQ66606
OG0000106	AFZ53533, AFZ54780	ACC80325, ACC84715	EKQ66749, EKQ70498
OG0000107	AFZ53550, AFZ53551	ACC79037, ACC79038	EKQ69558, EKQ69559
OG0000108	AFZ53770, AFZ55108	ACC84294	EKQ68281, EKQ70364, EKQ71097
OG0000109	AFZ53836	ACC79687, ACC80154, ACC83468	EKQ66747, EKQ70177
OG0000110	AFZ53910, AFZ55297	ACC82027, ACC82914	EKQ68386, EKQ70920
OG0000111	AFZ54050	ACC83756, ACC84953, ACC84975	EKQ66598, EKQ71290
OG0000112	AFZ54380	ACC80227, ACC81972, ACC82151	EKQ68133, EKQ70872
OG0000113	AFZ54385, AFZ54546	ACC82469, ACC84095	EKQ66597, EKQ70163
OG0000114	AFZ54455	ACC82815, ACC83036, ACC83333	EKQ66764, EKQ69778
OG0000115	AFZ54648	ACC81975	EKQ67757, EKQ68003, EKQ68321, EKQ71155
OG0000116	AFZ54673, AFZ54830	ACC80767, ACC80770, ACC84303	EKQ71244
OG0000117	AFZ55492	ACC81511, ACC84201, ACC84374	EKQ67306, EKQ67965
OG0000118		ACC79936, ACC82217, ACC83675, ACC83787, ACC85001	EKQ70002
OG0000119		ACC79935, ACC80285, ACC83786, ACC84619, ACC85002	EKQ67502
OG0000120		ACC80715, ACC83622, ACC84064, ACC84698, ACC85407	EKQ69190
OG0000121		ACC79697, ACC79946, ACC80126, ACC83139, ACC84870	EKQ69579
OG0000122		ACC81436, ACC84192, ACC84634	EKQ66865, EKQ66918, EKQ71264
OG0000123		ACC81571, ACC83119, ACC83383	EKQ66870, EKQ66910, EKQ67038
OG0000124	AFZ52165, AFZ52671	ACC80503	EKQ70593, EKQ71297
OG0000125	AFZ52335	ACC81716, ACC83890	EKQ68603, EKQ70172
OG0000126	AFZ52371, AFZ55460, AFZ55470	ACC79812	EKQ69893
OG0000127	AFZ52388, AFZ53750, AFZ54443	ACC83848	EKQ68339
OG0000128	AFZ52397, AFZ54448, AFZ55368	ACC82959	EKQ68165
OG0000129	AFZ52408, AFZ55377	ACC82326	EKQ69977, EKQ70806
OG0000130	AFZ52440	ACC80415, ACC81757, ACC84688, ACC84898	
OG0000131	AFZ52509, AFZ53753	ACC83813	EKQ67103, EKQ68742
OG0000132	AFZ52524, AFZ52857, AFZ53630	ACC81742	EKQ67563
OG0000133	AFZ52528, AFZ54466	ACC79751, ACC79907	EKQ69442
OG0000134	AFZ52540, AFZ54980	ACC80877, ACC81566	EKQ67829
OG0000135	AFZ52554, AFZ53555	ACC82267	EKQ67270, EKQ70599
OG0000136	AFZ52575	ACC82063, ACC82957, ACC83332	EKQ67430
OG0000137	AFZ52603	ACC78998, ACC82203	EKQ66834, EKQ67256
OG0000138	AFZ52672, AFZ53926	ACC81271	EKQ69934, EKQ70594
OG0000139	AFZ52673	ACC79651, ACC80260	EKQ67682, EKQ67917
OG0000140	AFZ52675	ACC83111	EKQ66953, EKQ67849, EKQ67869
OG0000141	AFZ52696, AFZ55176	ACC83699	EKQ70222, EKQ70684
OG0000142	AFZ52728	ACC81193, ACC81245	EKQ67362, EKQ69705
OG0000143	AFZ52761	ACC80404, ACC84601, ACC84750	EKQ67865
OG0000144	AFZ52812, AFZ52813, AFZ52814	ACC79326	EKQ69534
OG0000145	AFZ52845	ACC79028, ACC80577	EKQ67919, EKQ70745
OG0000146	AFZ52870	ACC83259, ACC84185	EKQ67467, EKQ69109
OG0000147	AFZ52920	ACC84950, ACC85029, ACC85238, ACC85241	
OG0000148	AFZ52947	ACC80885, ACC81073, ACC82917	EKQ66679
OG0000149	AFZ53020	ACC79761, ACC79924, ACC84647	EKQ68454
OG0000150	AFZ53067	ACC82444, ACC83130	EKQ68492, EKQ68743
OG0000151	AFZ53164	ACC81658, ACC81750, ACC83386, ACC84958	
OG0000152	AFZ53231, AFZ55438	ACC85397	EKQ67082, EKQ67535
OG0000153	AFZ53232, AFZ55439	ACC85396	EKQ67083, EKQ67536
OG0000154	AFZ53270	ACC80440, ACC84489, ACC85272	EKQ68349
OG0000155	AFZ53296, AFZ53300, AFZ53645	ACC79775	EKQ67675
OG0000156	AFZ53314, AFZ54757	ACC83202, ACC83963	EKQ68341
OG0000157	AFZ53347, AFZ55545		EKQ67320, EKQ67332, EKQ67338
OG0000158	AFZ53368, AFZ53825	ACC81418, ACC84657	EKQ70236
OG0000159	AFZ53477	ACC80924	EKQ68175, EKQ68578, EKQ70220
OG0000160	AFZ53530, AFZ54281, AFZ54490, AFZ55193		EKQ70342
OG0000161	AFZ53578	ACC81277, ACC82131, ACC82215, ACC82780	
OG0000162	AFZ53579	ACC83304, ACC84125, ACC84126	EKQ67907
OG0000163	AFZ53658, AFZ54240, AFZ55177	ACC81448	EKQ66707
OG0000164	AFZ53696, AFZ54026, AFZ54392	ACC85124, ACC85230	
OG0000165	AFZ53705	ACC81276, ACC82354, ACC83917	EKQ67114
OG0000166	AFZ53773, AFZ55136	ACC82937	EKQ69682, EKQ70465
OG0000167	AFZ53788	ACC80663, ACC81057, ACC81058, ACC81059	
OG0000168	AFZ53823	ACC80467, ACC81670, ACC85192	EKQ68265
OG0000169	AFZ53844	ACC79212, ACC84099	EKQ68697, EKQ70805
OG0000170	AFZ53864, AFZ53865	ACC80047, ACC82137	EKQ67423
OG0000171	AFZ53893	ACC84875	EKQ68760, EKQ68903, EKQ69141
OG0000172	AFZ53952, AFZ54623	ACC80359, ACC80556	EKQ66992
OG0000173	AFZ53953, AFZ55542, AFZ55551	ACC84375	EKQ67966
OG0000174	AFZ53982, AFZ55209	ACC79153, ACC82574	EKQ69941
OG0000175	AFZ54123	ACC79528, ACC83311	EKQ67014, EKQ69514
OG0000176	AFZ54198	ACC80815, ACC82019	EKQ66930, EKQ70012
OG0000177	AFZ54245	ACC79076, ACC80827, ACC81519	EKQ68706
OG0000178	AFZ54368	ACC78928, ACC79071, ACC83876	EKQ67908
OG0000179	AFZ54388	ACC80773, ACC81995, ACC83880	EKQ66715
OG0000180	AFZ54396	ACC80335, ACC84247, ACC84248	EKQ68797
OG0000181	AFZ54426	ACC79276, ACC80358, ACC83619, ACC83620	
OG0000182	AFZ54435	ACC81713, ACC82166, ACC83944	EKQ70186
OG0000183	AFZ54467	ACC79752	EKQ67429, EKQ67431, EKQ68491
OG0000184	AFZ54497	ACC81349, ACC84245	EKQ68799, EKQ71272
OG0000185	AFZ54539	ACC79720, ACC79721, ACC82084	EKQ69886
OG0000186	AFZ54652	ACC79352, ACC83213, ACC84136	EKQ71252
OG0000187	AFZ54688	ACC80997, ACC81088, ACC85003	EKQ69543
OG0000188	AFZ54703, AFZ54720	ACC82311	EKQ66591, EKQ67249
OG0000189	AFZ54744, AFZ55190	ACC84991, ACC85209	EKQ68167
OG0000190	AFZ54754, AFZ55305	ACC80520, ACC80579, ACC84772	
OG0000191	AFZ54778	ACC80967, ACC82529	EKQ69949, EKQ70607
OG0000192	AFZ54960	ACC83247, ACC83601, ACC83663	EKQ67673
OG0000193	AFZ54977	ACC80302, ACC80479, ACC81546	EKQ70575
OG0000194	AFZ54981	ACC79126, ACC81342, ACC83717	EKQ69812
OG0000195	AFZ54999	ACC82180, ACC82195	EKQ68810, EKQ68811
OG0000196	AFZ55048	ACC79262, ACC81572, ACC82411	EKQ67718
OG0000197	AFZ55076	ACC79694, ACC82693	EKQ69142, EKQ69328
OG0000198	AFZ55091	ACC81238, ACC81241, ACC82422	EKQ67413
OG0000199	AFZ55107	ACC81408, ACC84599	EKQ70487, EKQ71276
OG0000200	AFZ55254	ACC79930, ACC83618	EKQ66622, EKQ66686
OG0000201	AFZ55512	ACC79577, ACC79688, ACC80151	EKQ67169
OG0000202		ACC81818, ACC85451, ACC85489	EKQ67210, EKQ67296
OG0000203		ACC81992, ACC84214, ACC85093, ACC85220	EKQ69325
OG0000204		ACC80438, ACC80462, ACC80981, ACC85276	EKQ71213
OG0000205		ACC78809, ACC78942, ACC79512, ACC83157	EKQ68138
OG0000206		ACC78810, ACC78941, ACC79511, ACC83156	EKQ68139
OG0000207		ACC79722, ACC81309, ACC82260, ACC82473	EKQ68108
OG0000208		ACC79928, ACC82150, ACC83182	EKQ67572, EKQ71266
OG0000209		ACC80089, ACC80191, ACC81014, ACC83198, ACC83811	
OG0000210		ACC80231, ACC83254, ACC83295	EKQ69157, EKQ70927
OG0000211		ACC80721, ACC80829, ACC81648, ACC82704, ACC82789	
OG0000212		ACC82072, ACC83909, ACC84395	EKQ67894, EKQ68056
OG0000213		ACC82730, ACC82782, ACC83530, ACC83933	EKQ67359
OG0000214	AFZ52187	ACC80809	EKQ66792, EKQ69306
OG0000215	AFZ52190, AFZ52191	ACC83512	EKQ69395
OG0000216	AFZ52220	ACC83507	EKQ68109, EKQ70596
OG0000217	AFZ52310	ACC81411, ACC82176	EKQ66985
OG0000218	AFZ52324	ACC81085, ACC84423	EKQ67194
OG0000219	AFZ52329	ACC80222, ACC83661	EKQ67411
OG0000220	AFZ52359, AFZ52360	ACC83522, ACC83523	
OG0000221	AFZ52383	ACC79592, ACC79939	EKQ69084
OG0000222	AFZ52416	ACC79535, ACC82882	EKQ70635
OG0000223	AFZ52429	ACC80804, ACC84672	EKQ66937
OG0000224	AFZ52438, AFZ54186	ACC84562	EKQ71306
OG0000225	AFZ52470, AFZ53141	ACC78961	EKQ68319
OG0000226	AFZ52532	ACC79744, ACC82173	EKQ67238
OG0000227	AFZ52562	ACC82263	EKQ67274, EKQ67938
OG0000228	AFZ52574, AFZ54534		EKQ69765, EKQ70114
OG0000229	AFZ52576, AFZ54627	ACC84763	EKQ68291
OG0000230	AFZ52586, AFZ54513	ACC79631	EKQ68550
OG0000231	AFZ52598, AFZ53541	ACC83494	EKQ66889
OG0000232	AFZ52604	ACC82202	EKQ66833, EKQ67257
OG0000233	AFZ52607	ACC80027, ACC80366	EKQ68557
OG0000234	AFZ52608, AFZ52609	ACC80523	EKQ66771
OG0000235	AFZ52627, AFZ55378	ACC80378	EKQ67767
OG0000236	AFZ52631	ACC82261	EKQ66698, EKQ67276
OG0000237	AFZ52635, AFZ55286	ACC79566	EKQ67414
OG0000238	AFZ52678	ACC79097, ACC80355	EKQ70645
OG0000239	AFZ52735	ACC82011, ACC84183	EKQ68332
OG0000240	AFZ52751, AFZ53881	ACC79844, ACC84163	
OG0000241	AFZ52767	ACC81732	EKQ68353, EKQ71248
OG0000242	AFZ52768	ACC84900	EKQ70239, EKQ70792
OG0000243	AFZ52802	ACC79961, ACC83519	EKQ69350
OG0000244	AFZ52873	ACC78837, ACC79698	EKQ68358
OG0000245	AFZ52881	ACC79727, ACC80194	EKQ70757
OG0000246	AFZ52931	ACC80690, ACC82919	EKQ69175
OG0000247	AFZ52955	ACC79880, ACC82193	EKQ69265
OG0000248	AFZ52961	ACC79010, ACC82519	EKQ69307
OG0000249	AFZ52974	ACC80603	EKQ69764, EKQ70119
OG0000250	AFZ53038	ACC80354, ACC82123	EKQ70646
OG0000251	AFZ53047	ACC83045	EKQ66800, EKQ69816
OG0000252	AFZ53048	ACC83044	EKQ68781, EKQ68782
OG0000253	AFZ53077, AFZ54745	ACC81229	EKQ70615
OG0000254	AFZ53094	ACC78953, ACC78954	EKQ69797
OG0000255	AFZ53151	ACC81700, ACC82120	EKQ66716
OG0000256	AFZ53172	ACC81232, ACC81675	EKQ70707
OG0000257	AFZ53185, AFZ53512	ACC80532	EKQ70201
OG0000258	AFZ53224	ACC79967, ACC82303	EKQ70045
OG0000259	AFZ53235	ACC79251, ACC84036	EKQ69766
OG0000260	AFZ53246	ACC78900, ACC80689	EKQ70769
OG0000261	AFZ53259	ACC79723, ACC84308	EKQ69426
OG0000262	AFZ53285	ACC83133	EKQ66964, EKQ67021
OG0000263	AFZ53335	ACC81044, ACC84045	EKQ67006
OG0000264	AFZ53339	ACC79119, ACC83838	EKQ69902
OG0000265	AFZ53340	ACC79120, ACC83839	EKQ69901
OG0000266	AFZ53363, AFZ54908	ACC79856	EKQ67530
OG0000267	AFZ53419	ACC79920, ACC79982	EKQ68518
OG0000268	AFZ53440, AFZ55052	ACC82664	EKQ68619
OG0000269	AFZ53445, AFZ55309	ACC81562	EKQ69274
